AREA,2024,2025,2030,2035,2044,2050,2055,2060,2065,2070,2075,,AREA,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075
SEOUL,9371578,9352243,9182370,8902713,8325902,7904554,7530939,7136874,6722364,6287404,5831997,,SEOUL,9348434,9224988,9055480,8838979,8575363,8263101,7899284,7479610,6998324,6448126,5820029
BUSAN,3281067,3267305,3176493,3049008,2757135,2542212,2351037,2148887,1935762,1711658,1476578,,BUSAN,3264199,3180879,3075282,2943925,2784546,2593799,2367096,2098395,1779915,1401746,951352
DAEGU,2368236,2360381,2304147,2219645,2029114,1888104,1762045,1628215,1486612,1337237,1180090,,DAEGU,2358722,2308299,2240186,2152036,2041898,1906911,1743171,1545553,1307461,1020522,674184
INCHEON,2993690,2988676,2944203,2867386,2654278,2485409,2332816,2169434,1995262,1810301,1614550,,INCHEON,2987865,2954446,2896873,2810310,2691459,2535027,2333254,2075206,1745814,1324537,783531
GWANGJU,1416665,1413374,1386147,1340964,1236654,1159369,1090234,1016794,939054,857010,770665,,GWANGJU,1412757,1390810,1358897,1315859,1260602,1191436,1105964,1000932,872025,713608,518370
DAEJEON,1440110,1437235,1411328,1366282,1264208,1188425,1120546,1048371,971900,891132,806067,,DAEJEON,1437377,1420227,1393255,1355496,1306557,1245665,1171641,1082873,977268,852184,704349
ULSAN,1103210,1102191,1088583,1060787,989570,936589,889155,838737,785334,728946,669573,,ULSAN,1101159,1091938,1076145,1053261,1023270,985882,940525,886318,822035,746052,656271
SEJONG,388979,391562,406401,424450,465027,497857,528746,562845,600154,640673,684402,,SEJONG,388926,393230,392871,385629,368834,337640,283299,190266,31093,0,0
GYEONGGI,13625744,13614986,13475981,13194951,12339996,11624579,10974905,10276602,9529669,8734106,7889914,,GYEONGGI,13607457,13500786,13292451,12966948,12512259,11909252,11129977,10135361,8872055,7268172,5227534
GANGWON,1520362,1512253,1461739,1394614,1239815,1124943,1022861,915001,801362,681945,556750,,GANGWON,1510768,1461940,1402005,1329490,1243134,1141093,1020830,878975,711122,511569,272961
CHUNGBUK,1587829,1581449,1538451,1476957,1329849,1220494,1123238,1020413,912018,798054,678520,,CHUNGBUK,1579696,1538037,1483545,1414492,1329312,1225719,1100572,949694,767626,547289,279548
CHUNGNAM,2122027,2112895,2051635,1964375,1761061,1611166,1477945,1337170,1188841,1032960,869525,,CHUNGNAM,2110567,2052206,1976308,1880372,1762344,1619374,1447700,1242504,997700,705668,356912
JEONBUK,1744538,1733383,1663573,1573246,1393333,1263092,1148262,1027712,901438,769443,631726,,JEONBUK,1732800,1670747,1595117,1503623,1394404,1264981,1112165,931930,719246,467865,170038
JEONNAM,1792830,1780574,1706263,1610235,1409031,1265220,1139465,1008335,871830,729950,582695,,JEONNAM,1779428,1711168,1628103,1527454,1407636,1266493,1101235,908364,683578,421638,116205
GYEONGBUK,2539959,2524268,2425910,2294611,2019933,1820727,1644891,1460117,1266406,1063757,852171,,GYEONGBUK,2523359,2435645,2328053,2197417,2041430,1856945,1639874,1385047,1086026,734860,321778
GYEONGNAM,3238951,3224954,3128117,2988464,2696631,2482508,2292114,2090849,1878714,1655709,1421833,,GYEONGNAM,3222009,3137205,3029904,2896861,2735695,2542942,2313893,2042390,1720521,1338247,882894
JEJU,674214,672900,662181,644550,595393,551437,511309,468246,422249,373317,321451,,JEJU,671795,661486,645983,623220,592272,551840,500098,434556,351878,247635,115969
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,왼쪽이 리니어,,,,,,,,,,,,오른쪽이 시계열,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
51325329,51209989,51070629,50013522,48373238,44506930,41566685,38940508,36154602,33208969,30103602,26838507,,51325329,51037318,50134037,48870458,47195372,45071015,42438100,39210578,35267974,30443687,24749718,17851925
