AREA,AGE,2023
ADD_UP,ALL_AGE,"51,145,884.50"
ADD_UP,0_,"1,380,804.50"
ADD_UP,5_,"2,050,235"
ADD_UP,10_,"2,341,519"
ADD_UP,15_,"2,329,282"
ADD_UP,20_,"2,861,651.50"
ADD_UP,25_,"3,428,923.50"
ADD_UP,30_,"3,345,284"
ADD_UP,35_,"3,221,366"
ADD_UP,40_,"4,013,266.50"
ADD_UP,45_,"3,932,778.50"
ADD_UP,50_,"4,488,255.50"
ADD_UP,55_,"4,100,065.50"
ADD_UP,60_,"4,190,183.50"
ADD_UP,65_,"3,282,269.50"
ADD_UP,70_,"2,229,036.50"
ADD_UP,75_,"1,653,502.50"
ADD_UP,80_,"1,313,968.50"
ADD_UP,85_,"688,566"
ADD_UP,90_,"236,889.50"
ADD_UP,95_,"50,293"
ADD_UP,100_,"7,744"
SEOUL,ALL_AGE,"9,334,933.50"
SEOUL,0_,"220,265.50"
SEOUL,5_,"308,678"
SEOUL,10_,"357,808.50"
SEOUL,15_,"381,243"
SEOUL,20_,"564,693.50"
SEOUL,25_,"802,843.50"
SEOUL,30_,"764,498.50"
SEOUL,35_,"653,747"
SEOUL,40_,"727,185.50"
SEOUL,45_,"693,374.50"
SEOUL,50_,"787,553"
SEOUL,55_,"687,236"
SEOUL,60_,"703,236"
SEOUL,65_,"588,956"
SEOUL,70_,"409,781"
SEOUL,75_,"311,120.50"
SEOUL,80_,"222,881.50"
SEOUL,85_,"105,271"
SEOUL,90_,"35,320.50"
SEOUL,95_,"7,997"
SEOUL,100_,"1,243.50"
BUSAN,ALL_AGE,"3,291,326"
BUSAN,0_,"78,305.50"
BUSAN,5_,"121,997"
BUSAN,10_,"133,933.50"
BUSAN,15_,"130,393"
BUSAN,20_,"177,426.50"
BUSAN,25_,"208,199.50"
BUSAN,30_,"200,972"
BUSAN,35_,"190,947.50"
BUSAN,40_,"249,587.50"
BUSAN,45_,"236,897"
BUSAN,50_,"276,037"
BUSAN,55_,"262,703"
BUSAN,60_,"297,235.50"
BUSAN,65_,"258,134.50"
BUSAN,70_,"184,261"
BUSAN,75_,"129,523"
BUSAN,80_,"94,504"
BUSAN,85_,"43,269.50"
BUSAN,90_,"13,677.50"
BUSAN,95_,"2,927.50"
BUSAN,100_,394.5
DAEGU,ALL_AGE,"2,372,562"
DAEGU,0_,"59,547"
DAEGU,5_,"94,764"
DAEGU,10_,"106,649"
DAEGU,15_,"109,453.50"
DAEGU,20_,"137,540.50"
DAEGU,25_,"150,989"
DAEGU,30_,"143,435.50"
DAEGU,35_,"135,914"
DAEGU,40_,"177,123"
DAEGU,45_,"181,869.50"
DAEGU,50_,"215,325"
DAEGU,55_,"202,017"
DAEGU,60_,"202,866.50"
DAEGU,65_,"157,212"
DAEGU,70_,"113,543"
DAEGU,75_,"77,986"
DAEGU,80_,"62,908.50"
DAEGU,85_,"31,388.50"
DAEGU,90_,"9,946"
DAEGU,95_,"1,837.50"
DAEGU,100_,247
INCHEON,ALL_AGE,"2,966,979"
INCHEON,0_,"84,134"
INCHEON,5_,"121,382"
INCHEON,10_,"137,201"
INCHEON,15_,"134,775"
INCHEON,20_,"163,436"
INCHEON,25_,"205,728.50"
INCHEON,30_,"209,312"
INCHEON,35_,"197,689"
INCHEON,40_,"245,155"
INCHEON,45_,"232,763.50"
INCHEON,50_,"262,520"
INCHEON,55_,"246,106.50"
INCHEON,60_,"248,459.50"
INCHEON,65_,"179,728.50"
INCHEON,70_,"110,819"
INCHEON,75_,"81,399"
INCHEON,80_,"60,135.50"
INCHEON,85_,"31,607"
INCHEON,90_,"11,530.50"
INCHEON,95_,"2,665.50"
INCHEON,100_,432
GWANGJU,ALL_AGE,"1,420,562"
GWANGJU,0_,"40,702.50"
GWANGJU,5_,"62,653.50"
GWANGJU,10_,"73,565"
GWANGJU,15_,"75,537"
GWANGJU,20_,"93,358"
GWANGJU,25_,"100,970"
GWANGJU,30_,"88,568"
GWANGJU,35_,"86,476.50"
GWANGJU,40_,"113,836"
GWANGJU,45_,"115,058.50"
GWANGJU,50_,"126,801"
GWANGJU,55_,"111,240"
GWANGJU,60_,"103,884"
GWANGJU,65_,"76,434"
GWANGJU,70_,"55,494"
GWANGJU,75_,"41,910"
GWANGJU,80_,"31,736.50"
GWANGJU,85_,"15,645.50"
GWANGJU,90_,"5,395.50"
GWANGJU,95_,"1,114"
GWANGJU,100_,182.5
DAEJEON,ALL_AGE,"1,438,846"
DAEJEON,0_,"40,665"
DAEJEON,5_,"58,776"
DAEJEON,10_,"67,868.50"
DAEJEON,15_,"71,044"
DAEJEON,20_,"92,828.50"
DAEJEON,25_,"108,309"
DAEJEON,30_,"97,767.50"
DAEJEON,35_,"89,435"
DAEJEON,40_,"109,851.50"
DAEJEON,45_,"112,264.50"
DAEJEON,50_,"128,480.50"
DAEJEON,55_,"111,280.50"
DAEJEON,60_,"112,122"
DAEJEON,65_,"86,670.50"
DAEJEON,70_,"56,734.50"
DAEJEON,75_,"40,211"
DAEJEON,80_,"31,267"
DAEJEON,85_,"16,261.50"
DAEJEON,90_,"5,618.50"
DAEJEON,95_,"1,198.50"
DAEJEON,100_,192
ULSAN,ALL_AGE,"1,103,825"
ULSAN,0_,"31,542"
ULSAN,5_,"50,497"
ULSAN,10_,"56,355"
ULSAN,15_,"53,417.50"
ULSAN,20_,"57,363"
ULSAN,25_,"68,305.50"
ULSAN,30_,"68,602"
ULSAN,35_,"69,206.50"
ULSAN,40_,"91,669.50"
ULSAN,45_,"87,290"
ULSAN,50_,"102,820.50"
ULSAN,55_,"100,947.50"
ULSAN,60_,"96,350"
ULSAN,65_,"69,445"
ULSAN,70_,"42,883"
ULSAN,75_,"26,278.50"
ULSAN,80_,"18,492"
ULSAN,85_,"8,724.50"
ULSAN,90_,"2,944"
ULSAN,95_,624
ULSAN,100_,68
SEJONG,ALL_AGE,"384,276.50"
SEJONG,0_,"18,091"
SEJONG,5_,"26,644"
SEJONG,10_,"27,710"
SEJONG,15_,"22,129.50"
SEJONG,20_,"17,677.50"
SEJONG,25_,"20,367"
SEJONG,30_,"27,577"
SEJONG,35_,"32,533.50"
SEJONG,40_,"41,373"
SEJONG,45_,"35,258.50"
SEJONG,50_,"30,632.50"
SEJONG,55_,"22,243"
SEJONG,60_,"20,775"
SEJONG,65_,"15,612"
SEJONG,70_,"9,696"
SEJONG,75_,"6,348"
SEJONG,80_,"5,109.50"
SEJONG,85_,"3,023.50"
SEJONG,90_,"1,191.50"
SEJONG,95_,248
SEJONG,100_,36.5
GYEONGGI,ALL_AGE,"13,545,542.50"
GYEONGGI,0_,"414,094"
GYEONGGI,5_,"600,617.50"
GYEONGGI,10_,"671,466.50"
GYEONGGI,15_,"650,517"
GYEONGGI,20_,"772,182.50"
GYEONGGI,25_,"932,864"
GYEONGGI,30_,"943,400"
GYEONGGI,35_,"929,355"
GYEONGGI,40_,"1,152,431.50"
GYEONGGI,45_,"1,104,358"
GYEONGGI,50_,"1,224,263.50"
GYEONGGI,55_,"1,072,415"
GYEONGGI,60_,"1,029,614"
GYEONGGI,65_,"749,825"
GYEONGGI,70_,"470,060.50"
GYEONGGI,75_,"354,344"
GYEONGGI,80_,"269,574"
GYEONGGI,85_,"142,329"
GYEONGGI,90_,"49,266.50"
GYEONGGI,95_,"10,889.50"
GYEONGGI,100_,"1,675.50"
GANGWON,ALL_AGE,"1,526,763"
GANGWON,0_,"39,645.50"
GANGWON,5_,"53,774.50"
GANGWON,10_,"63,967"
GANGWON,15_,"66,508"
GANGWON,20_,"81,638"
GANGWON,25_,"84,848"
GANGWON,30_,"80,114.50"
GANGWON,35_,"78,773.50"
GANGWON,40_,"102,563"
GANGWON,45_,"108,629.50"
GANGWON,50_,"131,435"
GANGWON,55_,"129,270"
GANGWON,60_,"148,199"
GANGWON,65_,"122,388.50"
GANGWON,70_,"75,982"
GANGWON,75_,"63,703.50"
GANGWON,80_,"54,346"
GANGWON,85_,"28,362.50"
GANGWON,90_,"9,848.50"
GANGWON,95_,"2,410.50"
GANGWON,100_,356
CHUNGBUK,ALL_AGE,"1,589,702"
CHUNGBUK,0_,"42,975.50"
CHUNGBUK,5_,"63,368.50"
CHUNGBUK,10_,"72,892"
CHUNGBUK,15_,"72,168.50"
CHUNGBUK,20_,"85,105"
CHUNGBUK,25_,"99,538.50"
CHUNGBUK,30_,"94,101"
CHUNGBUK,35_,"92,859.50"
CHUNGBUK,40_,"115,082.50"
CHUNGBUK,45_,"117,203"
CHUNGBUK,50_,"136,545"
CHUNGBUK,55_,"132,542"
CHUNGBUK,60_,"141,211"
CHUNGBUK,65_,"112,769"
CHUNGBUK,70_,"72,032"
CHUNGBUK,75_,"53,944.50"
CHUNGBUK,80_,"47,518"
CHUNGBUK,85_,"26,922.50"
CHUNGBUK,90_,"8,875"
CHUNGBUK,95_,"1,789"
CHUNGBUK,100_,260
CHUNGNAM,ALL_AGE,"2,119,950.50"
CHUNGNAM,0_,"59,200.50"
CHUNGNAM,5_,"88,889.50"
CHUNGNAM,10_,"102,580"
CHUNGNAM,15_,"99,448"
CHUNGNAM,20_,"109,083"
CHUNGNAM,25_,"118,819"
CHUNGNAM,30_,"121,990.50"
CHUNGNAM,35_,"129,359"
CHUNGNAM,40_,"163,842.50"
CHUNGNAM,45_,"160,125"
CHUNGNAM,50_,"178,378.50"
CHUNGNAM,55_,"165,603.50"
CHUNGNAM,60_,"177,739.50"
CHUNGNAM,65_,"140,510"
CHUNGNAM,70_,"100,723"
CHUNGNAM,75_,"75,262"
CHUNGNAM,80_,"68,028"
CHUNGNAM,85_,"42,039.50"
CHUNGNAM,90_,"14,917.50"
CHUNGNAM,95_,"2,954"
CHUNGNAM,100_,458
JEONBUK,ALL_AGE,"1,757,041"
JEONBUK,0_,"40,571.50"
JEONBUK,5_,"65,841.50"
JEONBUK,10_,"81,530.50"
JEONBUK,15_,"84,276"
JEONBUK,20_,"97,457"
JEONBUK,25_,"96,652.50"
JEONBUK,30_,"86,046"
JEONBUK,35_,"88,095"
JEONBUK,40_,"118,032"
JEONBUK,45_,"130,132.50"
JEONBUK,50_,"152,757.50"
JEONBUK,55_,"145,257.50"
JEONBUK,60_,"154,314.50"
JEONBUK,65_,"125,765"
JEONBUK,70_,"95,279.50"
JEONBUK,75_,"74,632"
JEONBUK,80_,"66,007.50"
JEONBUK,85_,"37,743.50"
JEONBUK,90_,"13,449.50"
JEONBUK,95_,"2,746.50"
JEONBUK,100_,453.5
JEONNAM,ALL_AGE,"1,806,802"
JEONNAM,0_,"45,142.50"
JEONNAM,5_,"66,124"
JEONNAM,10_,"80,188"
JEONNAM,15_,"79,963.50"
JEONNAM,20_,"89,983"
JEONNAM,25_,"91,751.50"
JEONNAM,30_,"82,775"
JEONNAM,35_,"87,626"
JEONNAM,40_,"118,104.50"
JEONNAM,45_,"125,107.50"
JEONNAM,50_,"153,015.50"
JEONNAM,55_,"156,583.50"
JEONNAM,60_,"166,812"
JEONNAM,65_,"132,138.50"
JEONNAM,70_,"104,199.50"
JEONNAM,75_,"84,907"
JEONNAM,80_,"79,794.50"
JEONNAM,85_,"43,387"
JEONNAM,90_,"15,525"
JEONNAM,95_,"3,115.50"
JEONNAM,100_,558.5
GYEONGBUK,ALL_AGE,"2,558,213.50"
GYEONGBUK,0_,"62,519.50"
GYEONGBUK,5_,"95,650"
GYEONGBUK,10_,"109,478"
GYEONGBUK,15_,"108,890.50"
GYEONGBUK,20_,"123,978.50"
GYEONGBUK,25_,"129,618"
GYEONGBUK,30_,"127,606"
GYEONGBUK,35_,"134,470.50"
GYEONGBUK,40_,"177,516.50"
GYEONGBUK,45_,"183,331.50"
GYEONGBUK,50_,"220,765.50"
GYEONGBUK,55_,"222,133"
GYEONGBUK,60_,"243,956"
GYEONGBUK,65_,"199,518"
GYEONGBUK,70_,"146,629"
GYEONGBUK,75_,"101,904.50"
GYEONGBUK,80_,"94,895"
GYEONGBUK,85_,"53,009.50"
GYEONGBUK,90_,"18,147"
GYEONGBUK,95_,"3,672"
GYEONGBUK,100_,525
GYEONGNAM,ALL_AGE,"3,255,461"
GYEONGNAM,0_,"82,778.50"
GYEONGNAM,5_,"138,123.50"
GYEONGNAM,10_,"161,760.50"
GYEONGNAM,15_,"155,474"
GYEONGNAM,20_,"161,774.50"
GYEONGNAM,25_,"169,561"
GYEONGNAM,30_,"170,191"
GYEONGNAM,35_,"184,700.50"
GYEONGNAM,40_,"254,940"
GYEONGNAM,45_,"254,949"
GYEONGNAM,50_,"298,755"
GYEONGNAM,55_,"277,796.50"
GYEONGNAM,60_,"291,892"
GYEONGNAM,65_,"228,008"
GYEONGNAM,70_,"155,149.50"
GYEONGNAM,75_,"108,676"
GYEONGNAM,80_,"90,282.50"
GYEONGNAM,85_,"49,625.50"
GYEONGNAM,90_,"17,298"
GYEONGNAM,95_,"3,320.50"
GYEONGNAM,100_,405
JEJU,ALL_AGE,"673,099"
JEJU,0_,"20,624.50"
JEJU,5_,"32,454.50"
JEJU,10_,"36,566"
JEJU,15_,"34,044"
JEJU,20_,"36,126.50"
JEJU,25_,"39,559"
JEJU,30_,"38,327.50"
JEJU,35_,"40,178"
JEJU,40_,"54,973"
JEJU,45_,"54,166.50"
JEJU,50_,"62,170.50"
JEJU,55_,"54,691"
JEJU,60_,"51,517"
JEJU,65_,"39,155"
JEJU,70_,"25,770"
JEJU,75_,"21,353"
JEJU,80_,"16,488.50"
JEJU,85_,"9,956"
JEJU,90_,"3,938.50"
JEJU,95_,783.5
JEJU,100_,256.5
